X,Y,Z
-340.172,-9.92155,-104.424
-336.459,-9.42186,-108.414
-340.97,-11.051,-110.241
-339.974,-7.67267,-114.152
-342.86,-7.81885,-122.839
-340.692,-9.96154,-128.471
-340.252,-10.3121,-129.511
-337.306,-13.3017,-104.273
-344.678,-12.8992,-107.649
-343.455,-14.4984,-110.744
-346.289,-14.5896,-117.716
-344.125,-13.5961,-121.519
-342.279,-11.9046,-125.224
-349.39,-15.1392,-135.695
-346.773,-22.503,-106.915
-351.794,-18.6456,-133.737
-348.594,-28.6935,-104.142
-361.409,-28.026,-128.101
-359.381,-35.602,-119.85
-346.71,-39.005,-103.942
-346.734,-43.0328,-118.2
-328.471,-58.542,-103.321
-328.807,-52.1853,-112.53
-318.242,-59.1268,-104.98
-311.979,-65.7624,-104.61
-308.737,-72.7827,-102.2
-305.211,-63.9893,-105.236
-300.262,-69.0462,-102.434
-296.195,-59.6281,-106.772
-287.876,-57.0698,-107.588
-279.666,-61.2472,-97.0342
-281.133,-59.6602,-102.216
-283.157,-58.5625,-108.43
-285.356,-58.6424,-110.513
-280.01,-52.9236,-98.2827
-279.318,-51.0172,-100.729
-281.26,-55.2208,-106.643
-281.984,-50.2489,-111.754
-277.052,-56.2876,-120.288
-278.733,-53.6638,-122.559
-278.792,-50.2691,-128.94
-280.769,-46.8874,-132.61
-281.669,-44.1715,-137.052
-278.295,-47.8275,-104.09
-275.807,-44.8973,-107.623
-275.641,-50.6702,-112.426
-278.814,-45.5684,-114.574
-276.497,-52.9207,-125.754
-281.037,-41.437,-140.816
-280.509,-35.8725,-144.266
-273.036,-42.9528,-96.1453
-271.259,-43.1931,-104.501
-271.864,-47.5146,-108.253
-272.687,-43.8255,-109.891
-276.248,-35.9627,-116.122
-275.22,-40.2637,-145.851
-278.347,-32.7903,-145.452
-279.796,-31.4613,-145.003
-271.357,-39.6852,-94.1309
-271.015,-37.0719,-97.9921
-272,-35.3162,-102.657
-269.521,-41.7869,-107.161
-269.542,-44.5367,-109.754
-278.186,-31.1895,-114.535
-278.25,-31.2071,-116.61
-251.814,-57.6972,-145.68
-252.755,-57.486,-150.628
-255.079,-54.8723,-160.893
-284.15,-23.2431,-130.322
-279.869,-29.5217,-142.578
-262.578,-48.9101,-185.369
-263.644,-45.5761,-203.636
-271.29,-33.4299,-96.7223
-271.67,-34.3704,-98.6802
-269.748,-35.6947,-103.343
-271.592,-35.2153,-106.376
-273.739,-31.2222,-112.942
-275.807,-28.0867,-117.795
-249.498,-58.3199,-133.699
-251.46,-57.4792,-142.804
-275.069,-27.6213,-129.505
-275.644,-26.2787,-133.176
-275.542,-26.5416,-136.333
-246.598,-54.1177,-195.631
-270.254,-30.6481,-92.6224
-268.405,-30.144,-98.3285
-261.797,-33.7667,-106.209
-269.139,-29.072,-111.676
-268.927,-27.4935,-114.164
-269.687,-27.0819,-118.689
-274.093,-25.7598,-126.134
-274.115,-24.2931,-126.521
-271.33,-28.1299,-145.59
-282.266,-19.8785,-134.175
-275.266,-20.4187,-93.0812
-279.491,-18.4249,-100.032
-279.192,-17.8084,-100.872
-276.377,-18.7521,-102.258
-279.259,-18.9091,-106.986
-278.406,-20.3829,-109.479
-274.985,-20.3403,-111.542
-277.855,-19.1469,-112.986
-270.004,-25.9898,-120.057
-277.804,-18.098,-117.128
-278.967,-18.8532,-120.605
-273.901,-23.4185,-128.141
-273.489,-22.8301,-131.007
-272.921,-21.6252,-136.802
-278.95,-19.0046,-137.763
-287.286,-13.9419,-146.9
-277.668,-17.9365,-98.816
-278.582,-16.6048,-102.167
-280.296,-16.1563,-105.387
-279.797,-15.2508,-105.773
-277.411,-15.581,-107.622
-224.386,-47.0638,-113.103
-275.569,-16.4801,-113.095
-277.476,-17.3879,-114.84
-277.922,-17.0417,-118.537
-277.07,-16.9152,-120.385
-271.575,-20.7558,-130.772
-272.095,-19.81,-132.582
-271.636,-18.2283,-135.132
-278.877,-16.567,-144.023
-282.05,-14.7858,-146.121
-287.594,-12.0913,-147.404
-281.402,-12.4799,-103.906
-280.214,-12.7675,-104.018
-278.224,-14.9022,-107.169
-277.675,-15.3039,-112.621
-271.819,-15.6612,-117.324
-261.865,-21.7122,-123.415
-275.34,-16.3106,-123.574
-270.872,-16.7403,-138.892
-279.951,-14.1077,-144.963
-288.964,-9.41868,-133.591
-277.979,-11.941,-104.751
-279.77,-10.7076,-107.67
-278.971,-10.9674,-108.769
-279.881,-10.6563,-110.383
-271.668,-13.244,-119.361
-272.501,-13.2558,-121.41
-274.896,-13.5803,-125.9
-280.096,-12.2453,-123.734
-275.718,-13.2512,-132.187
-277.063,-12.4023,-135.203
-275.613,-11.4361,-142.208
-281.283,-11.1374,-139.271
-287.479,-9.31071,-146.967
-289.47,-8.53262,-151.431
-270.825,-10.6098,-92.3896
-281.197,-8.68268,-102.054
-278.343,-9.42349,-102.958
-278.767,-10.4718,-105.466
-280.085,-9.97673,-106.192
-274.664,-9.98904,-109.581
-280.947,-8.60801,-110.345
-278.348,-8.87112,-113.814
-275.294,-10.7806,-129.286
-276.466,-10.7143,-130.86
-277.808,-10.3796,-134.039
-277.21,-9.21264,-139.166
-279.562,-9.09095,-142.149
-282.014,-9.41847,-146.195
-288.925,-8.13963,-147.228
-289.6,-7.82307,-151.632
-275.449,-8.79975,-91.7092
-275.791,-6.72238,-95.1184
-275.71,-7.70196,-99.1007
-282.084,-7.98219,-103.105
-280.258,-6.752,-105.181
-263.273,-7.55415,-102.537
-276.714,-7.45515,-108.029
-278.65,-7.70583,-110.709
-281.905,-6.77703,-111.785
-280.039,-7.61319,-116.233
-269.538,-6.68908,-124.461
-281.139,-7.27172,-119.251
-281.286,-8.3266,-122.951
-280.948,-7.65199,-125.431
-280.99,-6.77967,-127.997
-278.553,-6.65603,-138.341
-278.751,-7.81908,-144.394
-284.788,-7.59837,-150.687
-290.008,-6.81131,-150.744
-294.355,-6.88884,-161.81
-275.801,-6.45081,-92.6455
-269.547,-5.34269,-99.6138
-264.369,-4.47764,-101.951
-270.141,-5.96879,-104.331
-281.312,-5.45755,-113.693
-271.175,-5.82773,-118.215
-269.978,-6.04479,-126.753
-273.383,-5.85913,-128.024
-280.743,-5.91141,-128.189
-278.582,-5.3698,-138.561
-279.535,-6.62234,-145.401
-283.953,-6.33437,-158.954
-290.038,-6.04667,-149.076
-293.49,-6.4435,-163.741
-276.145,-2.69181,-93.7428
-272.251,-2.61604,-97.1345
-265.705,-1.77904,-101.15
-270.507,-2.91084,-105.735
-271.809,-2.17378,-109.053
-272.63,-2.43828,-112.557
-280.864,-4.02989,-115.53
-276.525,-2.81478,-136.871
-277.959,-3.28993,-138.391
-280.852,-4.083,-146.184
-280.709,-4.39602,-147.508
-286.101,-4.97788,-160.401
-288.899,-5.28922,-151.584
-275.684,-1.70632,-90.5216
-253.561,3.39229,-87.3016
-269.701,-0.660761,-103.542
-271.459,1.252,-104.084
-274.071,-0.734884,-117.093
-280.797,-2.61229,-141.955
-281.942,-2.43653,-148.43
-291.847,-5.36116,-162.935
-292.993,-5.33906,-159.595
-268.367,3.20079,-98.7771
-275.426,2.30345,-104.327
-275.44,1.96142,-104.963
-271.573,3.41299,-107.571
-274.68,0.802822,-120.018
-281.025,-0.439181,-118.178
-283.438,-1.37083,-143.153
-292.182,-4.94609,-164.605
-278.793,1.66508,-91.0263
-277.091,3.09033,-94.417
-274.147,3.82099,-97.6986
-269.712,6.83219,-96.3904
-255.297,13.2235,-94.921
-274.828,6.0802,-104.974
-278.263,2.64288,-122.666
-285.703,-0.36642,-143.832
-289.505,-2.90891,-151.839
-293.628,-4.85416,-159.485
-279.522,4.74232,-93.2385
-273.517,9.92721,-92.8338
-275.667,8.54271,-99.6991
-279.836,5.80535,-104.832
-278.825,6.4113,-104.914
-281.8,3.21368,-121.094
-289.049,-1.83172,-136.574
-286.516,-0.366093,-150.058
-290.467,-2.21236,-152.922
-280.555,8.25338,-93.3148
-280.104,7.38272,-96.5459
-266.91,19.667,-91.2205
-280.356,7.41825,-104.679
-278.068,7.88756,-106.239
-278.819,9.91472,-109.328
-282.658,4.59926,-122.654
-283.93,5.24977,-123.669
-287.552,0.476038,-143.284
-290.079,-0.686772,-154.785
-294.792,-4.69986,-160.396
-280.857,8.9003,-94.196
-280.571,8.51562,-99.192
-279.573,10.6095,-99.112
-278.53,11.3855,-103.413
-277.656,11.3865,-104.587
-280.747,9.68677,-109.573
-282.515,9.75307,-111.019
-280.258,10.6302,-120.786
-284.286,5.81901,-124.488
-286.114,4.00457,-144.643
-289.304,0.753742,-150.879
-295.573,-4.7685,-160.88
-279.317,13.407,-88.7249
-279.335,15.3257,-89.2244
-278.009,18.0726,-95.0054
-277.358,15.6362,-99.4842
-277.754,17.748,-100.923
-278.216,14.9391,-104.499
-277.214,20.3218,-107.851
-282.482,10.1091,-111.236
-277.611,17.335,-113.742
-280.865,13.385,-120.426
-284.489,10.4703,-128.658
-284.397,8.30826,-145.988
-291.258,1.52956,-153.062
-292.377,-0.64783,-156.249
-296.538,-5.66893,-159.913
-282.027,17.9629,-89.1451
-279.346,18.5708,-95.2659
-280.335,17.7056,-96.7751
-278.716,19.5359,-100.64
-280.184,17.2292,-105.921
-282.486,14.7294,-109.063
-280.231,19.3564,-117.577
-282.017,16.248,-120.626
-286.104,12.4274,-124.921
-286.497,11.4772,-125.193
-283.588,13.9209,-147.491
-291.416,1.89955,-152.089
-292.191,1.13768,-157.078
-283.864,21.4072,-89.3402
-281.246,22.1667,-91.0987
-283.972,19.5826,-99.9061
-284.707,18.1608,-103.655
-284.358,17.0133,-106.274
-282.681,22.4191,-109.607
-285.038,20.6908,-111.041
-284.765,20.3878,-113.709
-285.524,19.8598,-118.801
-284.969,20.429,-119.778
-285.397,19.0181,-122.788
-285.228,15.3679,-125.379
-287.001,12.4539,-126.078
-285.309,17.9428,-147.223
-292.201,4.04133,-166.453
-285.716,25.3403,-88.5102
-286.259,21.6526,-95.6701
-286.11,21.6839,-97.1873
-285.491,24.0627,-99.0193
-284.647,27.5718,-105.543
-284.013,26.0478,-107.407
-283.236,25.9979,-113.35
-281.294,31.1651,-117.116
-287.562,21.2048,-118.789
-286.074,18.7097,-120.025
-287.879,19.4422,-123.558
-280.864,33.3392,-134.783
-280.339,33.5841,-146.697
-284.818,29.6171,-149.988
-286.514,18.7515,-146.906
-294.078,2.40586,-158.115
-285.249,32.0774,-87.8116
-287.167,30.5784,-99.7744
-285.68,29.9773,-105.38
-285.982,28.2912,-111.646
-287.487,27.1532,-117.044
-288.349,27.0971,-118.763
-290.071,26.4695,-124.538
-289.652,21.7696,-124.989
-290.249,21.2866,-127.871
-289.17,21.138,-131.583
-288.981,29.7492,-148.966
-289.445,18.4646,-147.898
-295.22,1.16603,-157.275
-291.218,38.9386,-87.9713
-291.467,41.4461,-93.0789
-285.217,50.4371,-91.2651
-290.366,33.3772,-101.084
-291.333,42.8836,-108.67
-291.377,37.0921,-113.66
-290.829,35.8329,-116.064
-289.547,33.3499,-118.412
-291.288,27.2318,-124.135
-290.047,28.009,-127.869
-292.829,19.5233,-148.267
-294.544,41.9655,-91.4226
-293.56,44.8028,-96.4076
-295.14,38.0765,-103.646
-296.313,33.7794,-108.232
-295.968,37.2925,-116.32
-296.493,36.0265,-121.834
-294.337,31.9585,-124.374
-294.335,22.6676,-136.046
-296.422,29.8557,-147.447
-295.627,34.5029,-221.981
-297.294,8.58809,-167.39
-296.727,2.28301,-157.899
-300.469,54.7969,-88.2909
-297.793,53.1911,-91.2124
-298.416,32.1881,-106.912
-298.786,37.1211,-110.653
-302.963,50.5379,-117.68
-297.466,35.7518,-120.55
-300,24.7879,-137.74
-298.21,23.8046,-147.998
-301.661,37.1705,-221.078
-297.642,5.57312,-158.349
-307.594,56.8132,-88.4621
-309.4,56.579,-90.3566
-302.867,40.1226,-108.794
-304.502,40.9341,-114.056
-303.08,40.9456,-118.316
-303.852,35.5378,-120.89
-304.95,43.4143,-127.135
-304.073,27.3107,-139.882
-304.369,27.1603,-142.718
-306.236,38.2193,-220.524
-298.809,4.67844,-158.659
-311.438,56.1428,-89.6921
-311.636,52.0593,-105.272
-311.13,53.5686,-111.291
-309.181,44.2595,-120.727
-306.975,37.4108,-122.135
-310.624,40.6718,-131.415
-310.577,40.4003,-131.578
-309.991,37.2623,-142.268
-306.309,27.8877,-141.106
-305.797,21.4102,-140.457
-303.775,23.286,-156.449
-303.316,19.5967,-156.832
-300.895,9.37148,-157.963
-300.778,6.52768,-159.466
-322.357,53.6842,-95.5371
-321.601,49.058,-100.964
-313.816,35.873,-123.166
-314.445,33.9461,-123.998
-314.461,34.3585,-133.407
-314.527,35.9141,-136.224
-311.463,28.1682,-138.49
-310.602,25.1259,-140.894
-309.066,22.4913,-155.187
-314.231,36.9108,-218.817
-323.913,50.5739,-95.7321
-322.214,47.4818,-100.797
-315.645,34.4534,-126.265
-315.75,32.6295,-134.617
-314.439,27.7357,-136.63
-312.446,25.4575,-140.731
-307.295,14.4658,-165.195
-304.8,7.61773,-160.762
-298.076,-5.08604,-161.391
-334.322,55.5457,-92.6206
-338.968,51.8488,-98.5151
-342.961,59.3207,-110.589
-326.488,40.127,-136.793
-318.501,28.3684,-137.095
-325.433,32.3377,-144.758
-319.747,29.6897,-151.518
