X,Y,Z
-342.595,-17.192,-102.235
-355.248,-18.9381,-104.685
-341.267,-16.7278,-111.89
-339.072,-16.9558,-121.508
-342.316,-15.2564,-122.853
-354.424,-16.898,-127.985
-339.433,-16.0722,-129.252
-335.727,-16.7333,-133.689
-333.739,-17.6446,-134.102
-325.719,-15.8475,-132.014
-346.149,-16.6082,-151.152
-332.986,-16.1158,-144.977
-329.944,-16.9203,-148.658
-327.453,-16.565,-151.148
-327.577,-15.4108,-158.14
-323.837,-15.6519,-169.037
-312.836,-15.2913,-159.325
-345.807,-21.3985,-104.675
-348.533,-20.3492,-105.123
-334.389,-19.4402,-115.878
-343.697,-19.8352,-124.504
-343.33,-21.4127,-127.663
-341.492,-21.9795,-131.993
-354.35,-23.9559,-141.241
-343.777,-21.2711,-153.82
-330.169,-17.5607,-142.741
-326.125,-18.5683,-142.948
-322.733,-17.5435,-147.928
-331.937,-18.0917,-183.939
-317.878,-16.2803,-159.034
-313.881,-16.067,-158.796
-338.919,-24.9304,-102.672
-339.793,-24.8688,-107.154
-342.511,-22.9931,-108.324
-327.042,-20.776,-116.682
-328.696,-19.6838,-127.355
-329.416,-21.0199,-132.373
-349.523,-27.2748,-147.387
-329.775,-20.0652,-139.858
-342.933,-25.8007,-155.631
-324.023,-19.9032,-142.791
-319.38,-17.5105,-149.673
-315.774,-17.1076,-156.023
-347.434,-31.4217,-95.0065
-334.437,-26.3428,-106.537
-340.974,-27.4248,-108.54
-332.936,-25.194,-114.305
-329.365,-24.3255,-118.526
-331.448,-23.1492,-123.741
-338.435,-26.3905,-134.345
-327.211,-21.3661,-132.496
-327.226,-22.6206,-136.104
-324.372,-21.5793,-134.518
-335.49,-26.4439,-150.449
-324.724,-21.5177,-143.175
-320.654,-20.3819,-162.045
-316.736,-18.7014,-152.824
-337.598,-29.713,-94.932
-342.078,-33.9999,-98.0547
-340.767,-31.7231,-105.134
-334.573,-27.5222,-110.554
-339.427,-31.991,-114.175
-338.196,-30.033,-118.016
-332.104,-27.8733,-120.7
-331.667,-26.9698,-122.089
-325.065,-22.9694,-124.209
-321.549,-22.5139,-127.365
-327.508,-25.1293,-133.715
-324.031,-22.5228,-133.57
-342.877,-32.384,-156.6
-319.295,-21.2816,-137.924
-324.861,-22.9607,-147.013
-318.4,-20.3696,-142.567
-327.298,-24.5726,-186.104
-312.992,-17.2523,-162.411
-339.21,-33.6509,-94.9634
-339.252,-33.6254,-99.2867
-340.745,-34.9887,-105.423
-328.201,-26.5228,-117.485
-320.279,-23.524,-121.231
-335.165,-30.7493,-123.597
-316.269,-20.0433,-123.421
-331.904,-30.0206,-130.666
-325.4,-27.2449,-129.901
-351.526,-44.2871,-151.967
-330.944,-29.4701,-144.299
-323.433,-24.7006,-144.801
-323.714,-25.5186,-150.381
-321.794,-24.356,-149.946
-311.742,-17.3235,-155.547
-332.34,-33.8844,-96.7096
-334.703,-37.5901,-98.6525
-338.883,-38.3246,-103.78
-326.113,-29.4975,-114.822
-316.647,-21.2184,-120.749
-334.098,-33.7571,-118.867
-331.06,-33.8025,-123.153
-324.954,-29.6086,-129.807
-331.07,-31.7098,-135.745
-346.489,-49.0237,-153.57
-314.554,-19.8759,-127.671
-329.537,-31.7651,-168.014
-321.341,-25.038,-160.168
-313.211,-19.2497,-156.411
-320.77,-26.7574,-110.939
-326.74,-33.7462,-107.378
-329.263,-37.6492,-110.205
-316.814,-23.0383,-119.211
-327.986,-33.1118,-128.431
-331.749,-38.537,-139.705
-340.078,-49.0335,-151.212
-340.391,-44.0652,-154.058
-317.838,-23.8412,-136.478
-319.833,-25.3882,-151.174
-317.385,-24.4626,-153.278
-310.653,-17.0624,-142.76
-321.714,-31.3412,-101.144
-325.976,-38.1066,-97.0322
-325.435,-36.8259,-114.035
-336.779,-52.3113,-131.889
-325.071,-33.8864,-132.213
-341.644,-54.8869,-145.76
-325.549,-35.4715,-166.165
-318.342,-25.9848,-151.473
-308.896,-15.4951,-145.151
-321.441,-34.2102,-95.6085
-323.678,-38.451,-96.0543
-325.655,-40.4968,-99.5749
-316.64,-26.5113,-116.457
-317.154,-28.018,-119.049
-332.387,-53.0013,-127.57
-335.195,-59.1141,-142.836
-340.994,-60.6197,-150.288
-313.429,-22.0924,-132.289
-312.086,-20.0055,-131.118
-316.738,-26.7693,-152.844
-311.483,-19.426,-140.551
-311.448,-19.8773,-152.214
-317.945,-34.8938,-102.435
-315.902,-29.5266,-113.334
-318.358,-34.1817,-119.458
-330.063,-61.1624,-143.197
-337.309,-66.4397,-148.787
-319.434,-35.1631,-136.752
-324.765,-51.3929,-173.588
-322.355,-43.0782,-167.236
-311.6,-21.4897,-139.725
-318.003,-40.0486,-100.972
-314.494,-28.9355,-117.45
-325.673,-55.0597,-125.115
-330.294,-76.422,-131.758
-328.313,-74.5802,-140.3
-327.414,-62.4077,-141.052
-323.098,-58.5109,-146.726
-315.145,-34.8385,-139.927
-325.302,-58.7202,-166.561
-315.089,-31.8744,-143.457
-314.763,-32.2857,-152.132
-310.699,-20.6014,-157.957
-313.96,-33.1658,-105.439
-314.58,-39.4049,-104.405
-312.814,-31.5324,-112.274
-311.716,-28.6749,-116.174
-320.47,-55.8788,-123.252
-319.843,-63.7637,-136.088
-312.133,-26.7657,-130.237
-322.019,-63.3429,-162.797
-315.855,-44.5036,-163.839
